"","Age Group","2018-19","2019-20","2021-22","2022-23"
"1","Overall",63.6,66,14.3,62.1
"2","0-17 years (Children)",33.8,41.7,9.9,44
"3","0-4 years",70.9,91.4,17.8,85.3
"4","0-<1 year",125.4,162.1,30.5,116.8
"5","1-4 years",57.6,74.3,14.8,77.4
"6","5-17 years",20,23.3,7.2,29.7
"7","5-11 years",26.8,31.7,7.8,39.4
"8","12-17 years",12.2,13.9,6.6,19.2
"9","18+ years (Adults)",72.1,72.9,15.6,67
"10","18-49 years",24.5,33.3,7.6,27.1
"11","18-29 years",17.6,26.6,9.9,24.3
"12","30-39 years",24.4,34.1,7.1,28.5
"13","40-49 years",33.8,40.9,5.2,29.1
"14","50-64 years",79.2,89.4,13.3,67.9
"15","65+ years",212,172.2,41.7,178.7
"16","65-74 years",146.4,135.3,25.2,124.4
"17","75+ years",310,227.4,68.3,258.6
"18","75-84 years",264.6,202.5,59.1,224.5
"19","85+ years",413.7,286.1,93.1,350.3
