"","Surveillance.Network","Season","MMWR.Year","MMWR.Week","Age.group","Sex","Race.Ethnicity","Site","Weekly.Rate","Cumulative.Rate","Week.Ending.Date"
"1","FluSurv-NET","2018-19",2018,"40","Overall","Overall","Overall","Overall",0.1,0.1,"2018-10-06T00:00:00.000"
"2","FluSurv-NET","2018-19",2018,"41","Overall","Overall","Overall","Overall",0.1,0.2,"2018-10-13T00:00:00.000"
"3","FluSurv-NET","2018-19",2018,"42","Overall","Overall","Overall","Overall",0.1,0.3,"2018-10-20T00:00:00.000"
"4","FluSurv-NET","2018-19",2018,"43","Overall","Overall","Overall","Overall",0.1,0.4,"2018-10-27T00:00:00.000"
"5","FluSurv-NET","2018-19",2018,"44","Overall","Overall","Overall","Overall",0.2,0.5,"2018-11-03T00:00:00.000"
"6","FluSurv-NET","2018-19",2018,"45","Overall","Overall","Overall","Overall",0.2,0.7,"2018-11-10T00:00:00.000"
"7","FluSurv-NET","2018-19",2018,"46","Overall","Overall","Overall","Overall",0.2,1,"2018-11-17T00:00:00.000"
"8","FluSurv-NET","2018-19",2018,"47","Overall","Overall","Overall","Overall",0.3,1.3,"2018-11-24T00:00:00.000"
"9","FluSurv-NET","2018-19",2018,"48","Overall","Overall","Overall","Overall",0.6,1.8,"2018-12-01T00:00:00.000"
"10","FluSurv-NET","2018-19",2018,"49","Overall","Overall","Overall","Overall",0.7,2.5,"2018-12-08T00:00:00.000"
"11","FluSurv-NET","2018-19",2018,"50","Overall","Overall","Overall","Overall",1.2,3.7,"2018-12-15T00:00:00.000"
"12","FluSurv-NET","2018-19",2018,"51","Overall","Overall","Overall","Overall",1.9,5.6,"2018-12-22T00:00:00.000"
"13","FluSurv-NET","2018-19",2018,"52","Overall","Overall","Overall","Overall",2.9,8.6,"2018-12-29T00:00:00.000"
"14","FluSurv-NET","2018-19",2019,"1","Overall","Overall","Overall","Overall",3,11.6,"2019-01-05T00:00:00.000"
"15","FluSurv-NET","2018-19",2019,"2","Overall","Overall","Overall","Overall",2.5,14.1,"2019-01-12T00:00:00.000"
"16","FluSurv-NET","2018-19",2019,"3","Overall","Overall","Overall","Overall",2.1,16.3,"2019-01-19T00:00:00.000"
"17","FluSurv-NET","2018-19",2019,"4","Overall","Overall","Overall","Overall",2.3,18.6,"2019-01-26T00:00:00.000"
"18","FluSurv-NET","2018-19",2019,"5","Overall","Overall","Overall","Overall",3,21.6,"2019-02-02T00:00:00.000"
"19","FluSurv-NET","2018-19",2019,"6","Overall","Overall","Overall","Overall",3.5,25,"2019-02-09T00:00:00.000"
"20","FluSurv-NET","2018-19",2019,"7","Overall","Overall","Overall","Overall",3.8,28.9,"2019-02-16T00:00:00.000"
"21","FluSurv-NET","2018-19",2019,"8","Overall","Overall","Overall","Overall",4.6,33.5,"2019-02-23T00:00:00.000"
"22","FluSurv-NET","2018-19",2019,"9","Overall","Overall","Overall","Overall",4.6,38.1,"2019-03-02T00:00:00.000"
"23","FluSurv-NET","2018-19",2019,"10","Overall","Overall","Overall","Overall",5.2,43.3,"2019-03-09T00:00:00.000"
"24","FluSurv-NET","2018-19",2019,"11","Overall","Overall","Overall","Overall",5.5,48.8,"2019-03-16T00:00:00.000"
"25","FluSurv-NET","2018-19",2019,"12","Overall","Overall","Overall","Overall",4.8,53.6,"2019-03-23T00:00:00.000"
"26","FluSurv-NET","2018-19",2019,"13","Overall","Overall","Overall","Overall",3.6,57.2,"2019-03-30T00:00:00.000"
"27","FluSurv-NET","2018-19",2019,"14","Overall","Overall","Overall","Overall",2.7,59.9,"2019-04-06T00:00:00.000"
"28","FluSurv-NET","2018-19",2019,"15","Overall","Overall","Overall","Overall",1.8,61.7,"2019-04-13T00:00:00.000"
"29","FluSurv-NET","2018-19",2019,"16","Overall","Overall","Overall","Overall",1.1,62.8,"2019-04-20T00:00:00.000"
"30","FluSurv-NET","2018-19",2019,"17","Overall","Overall","Overall","Overall",0.6,63.4,"2019-04-27T00:00:00.000"
"31","FluSurv-NET","2018-19",2019,"18","Overall","Overall","Overall","Overall",0.2,63.6,"2019-05-04T00:00:00.000"
"32","FluSurv-NET","2019-20",2019,"40","Overall","Overall","Overall","Overall",0.1,0.1,"2019-10-05T00:00:00.000"
"33","FluSurv-NET","2019-20",2019,"41","Overall","Overall","Overall","Overall",0.1,0.2,"2019-10-12T00:00:00.000"
"34","FluSurv-NET","2019-20",2019,"42","Overall","Overall","Overall","Overall",0.2,0.4,"2019-10-19T00:00:00.000"
"35","FluSurv-NET","2019-20",2019,"43","Overall","Overall","Overall","Overall",0.2,0.6,"2019-10-26T00:00:00.000"
"36","FluSurv-NET","2019-20",2019,"44","Overall","Overall","Overall","Overall",0.2,0.8,"2019-11-02T00:00:00.000"
"37","FluSurv-NET","2019-20",2019,"45","Overall","Overall","Overall","Overall",0.3,1.1,"2019-11-09T00:00:00.000"
"38","FluSurv-NET","2019-20",2019,"46","Overall","Overall","Overall","Overall",0.4,1.5,"2019-11-16T00:00:00.000"
"39","FluSurv-NET","2019-20",2019,"47","Overall","Overall","Overall","Overall",0.6,2.2,"2019-11-23T00:00:00.000"
"40","FluSurv-NET","2019-20",2019,"48","Overall","Overall","Overall","Overall",0.9,3.1,"2019-11-30T00:00:00.000"
"41","FluSurv-NET","2019-20",2019,"49","Overall","Overall","Overall","Overall",1.3,4.3,"2019-12-07T00:00:00.000"
"42","FluSurv-NET","2019-20",2019,"50","Overall","Overall","Overall","Overall",1.7,6.1,"2019-12-14T00:00:00.000"
"43","FluSurv-NET","2019-20",2019,"51","Overall","Overall","Overall","Overall",2.4,8.5,"2019-12-21T00:00:00.000"
"44","FluSurv-NET","2019-20",2019,"52","Overall","Overall","Overall","Overall",4.5,12.9,"2019-12-28T00:00:00.000"
"45","FluSurv-NET","2019-20",2020,"1","Overall","Overall","Overall","Overall",5.3,18.3,"2020-01-04T00:00:00.000"
"46","FluSurv-NET","2019-20",2020,"2","Overall","Overall","Overall","Overall",4.5,22.8,"2020-01-11T00:00:00.000"
"47","FluSurv-NET","2019-20",2020,"3","Overall","Overall","Overall","Overall",4.2,27,"2020-01-18T00:00:00.000"
"48","FluSurv-NET","2019-20",2020,"4","Overall","Overall","Overall","Overall",4.6,31.6,"2020-01-25T00:00:00.000"
"49","FluSurv-NET","2019-20",2020,"5","Overall","Overall","Overall","Overall",5.3,36.9,"2020-02-01T00:00:00.000"
"50","FluSurv-NET","2019-20",2020,"6","Overall","Overall","Overall","Overall",6,42.9,"2020-02-08T00:00:00.000"
"51","FluSurv-NET","2019-20",2020,"7","Overall","Overall","Overall","Overall",5,48,"2020-02-15T00:00:00.000"
"52","FluSurv-NET","2019-20",2020,"8","Overall","Overall","Overall","Overall",5,53,"2020-02-22T00:00:00.000"
"53","FluSurv-NET","2019-20",2020,"9","Overall","Overall","Overall","Overall",4.4,57.4,"2020-02-29T00:00:00.000"
"54","FluSurv-NET","2019-20",2020,"10","Overall","Overall","Overall","Overall",4,61.3,"2020-03-07T00:00:00.000"
"55","FluSurv-NET","2019-20",2020,"11","Overall","Overall","Overall","Overall",2.8,64.2,"2020-03-14T00:00:00.000"
"56","FluSurv-NET","2019-20",2020,"12","Overall","Overall","Overall","Overall",1.3,65.4,"2020-03-21T00:00:00.000"
"57","FluSurv-NET","2019-20",2020,"13","Overall","Overall","Overall","Overall",0.3,65.7,"2020-03-28T00:00:00.000"
"58","FluSurv-NET","2019-20",2020,"14","Overall","Overall","Overall","Overall",0.1,65.9,"2020-04-04T00:00:00.000"
"59","FluSurv-NET","2019-20",2020,"15","Overall","Overall","Overall","Overall",0.1,65.9,"2020-04-11T00:00:00.000"
"60","FluSurv-NET","2019-20",2020,"16","Overall","Overall","Overall","Overall",0.1,66,"2020-04-18T00:00:00.000"
"61","FluSurv-NET","2019-20",2020,"17","Overall","Overall","Overall","Overall",0,66,"2020-04-25T00:00:00.000"
"62","FluSurv-NET","2019-20",2020,"18","Overall","Overall","Overall","Overall",0,66,"2020-05-02T00:00:00.000"
"63","FluSurv-NET","2020-21",2020,"40","Overall","Overall","Overall","Overall",0,0,"2020-10-03T00:00:00.000"
"64","FluSurv-NET","2020-21",2020,"41","Overall","Overall","Overall","Overall",0,0,"2020-10-10T00:00:00.000"
"65","FluSurv-NET","2020-21",2020,"42","Overall","Overall","Overall","Overall",0,0,"2020-10-17T00:00:00.000"
"66","FluSurv-NET","2020-21",2020,"43","Overall","Overall","Overall","Overall",0,0.1,"2020-10-24T00:00:00.000"
"67","FluSurv-NET","2020-21",2020,"44","Overall","Overall","Overall","Overall",0,0.1,"2020-10-31T00:00:00.000"
"68","FluSurv-NET","2020-21",2020,"45","Overall","Overall","Overall","Overall",0,0.1,"2020-11-07T00:00:00.000"
"69","FluSurv-NET","2020-21",2020,"46","Overall","Overall","Overall","Overall",0,0.2,"2020-11-14T00:00:00.000"
"70","FluSurv-NET","2020-21",2020,"47","Overall","Overall","Overall","Overall",0,0.2,"2020-11-21T00:00:00.000"
"71","FluSurv-NET","2020-21",2020,"48","Overall","Overall","Overall","Overall",0,0.2,"2020-11-28T00:00:00.000"
"72","FluSurv-NET","2020-21",2020,"49","Overall","Overall","Overall","Overall",0.1,0.3,"2020-12-05T00:00:00.000"
"73","FluSurv-NET","2020-21",2020,"50","Overall","Overall","Overall","Overall",0,0.3,"2020-12-12T00:00:00.000"
"74","FluSurv-NET","2020-21",2020,"51","Overall","Overall","Overall","Overall",0,0.4,"2020-12-19T00:00:00.000"
"75","FluSurv-NET","2020-21",2020,"52","Overall","Overall","Overall","Overall",0,0.4,"2020-12-26T00:00:00.000"
"76","FluSurv-NET","2020-21",2020,"53","Overall","Overall","Overall","Overall",0.1,0.5,"2021-01-02T00:00:00.000"
"77","FluSurv-NET","2020-21",2021,"1","Overall","Overall","Overall","Overall",0,0.5,"2021-01-09T00:00:00.000"
"78","FluSurv-NET","2020-21",2021,"2","Overall","Overall","Overall","Overall",0,0.5,"2021-01-16T00:00:00.000"
"79","FluSurv-NET","2020-21",2021,"3","Overall","Overall","Overall","Overall",0,0.6,"2021-01-23T00:00:00.000"
"80","FluSurv-NET","2020-21",2021,"4","Overall","Overall","Overall","Overall",0,0.6,"2021-01-30T00:00:00.000"
"81","FluSurv-NET","2020-21",2021,"5","Overall","Overall","Overall","Overall",0,0.6,"2021-02-06T00:00:00.000"
"82","FluSurv-NET","2020-21",2021,"6","Overall","Overall","Overall","Overall",0,0.6,"2021-02-13T00:00:00.000"
"83","FluSurv-NET","2020-21",2021,"7","Overall","Overall","Overall","Overall",0,0.7,"2021-02-20T00:00:00.000"
"84","FluSurv-NET","2020-21",2021,"8","Overall","Overall","Overall","Overall",0,0.7,"2021-02-27T00:00:00.000"
"85","FluSurv-NET","2020-21",2021,"9","Overall","Overall","Overall","Overall",0,0.7,"2021-03-06T00:00:00.000"
"86","FluSurv-NET","2020-21",2021,"10","Overall","Overall","Overall","Overall",0,0.7,"2021-03-13T00:00:00.000"
"87","FluSurv-NET","2020-21",2021,"11","Overall","Overall","Overall","Overall",0,0.7,"2021-03-20T00:00:00.000"
"88","FluSurv-NET","2020-21",2021,"12","Overall","Overall","Overall","Overall",0,0.7,"2021-03-27T00:00:00.000"
"89","FluSurv-NET","2020-21",2021,"13","Overall","Overall","Overall","Overall",0,0.8,"2021-04-03T00:00:00.000"
"90","FluSurv-NET","2020-21",2021,"14","Overall","Overall","Overall","Overall",0,0.8,"2021-04-10T00:00:00.000"
"91","FluSurv-NET","2020-21",2021,"15","Overall","Overall","Overall","Overall",0,0.8,"2021-04-17T00:00:00.000"
"92","FluSurv-NET","2020-21",2021,"16","Overall","Overall","Overall","Overall",0,0.8,"2021-04-24T00:00:00.000"
"93","FluSurv-NET","2020-21",2021,"17","Overall","Overall","Overall","Overall",0,0.8,"2021-05-01T00:00:00.000"
"94","FluSurv-NET","2021-22",2021,"40","Overall","Overall","Overall","Overall",0,0,"2021-10-09T00:00:00.000"
"95","FluSurv-NET","2021-22",2021,"41","Overall","Overall","Overall","Overall",0,0.1,"2021-10-16T00:00:00.000"
"96","FluSurv-NET","2021-22",2021,"42","Overall","Overall","Overall","Overall",0,0.1,"2021-10-23T00:00:00.000"
"97","FluSurv-NET","2021-22",2021,"43","Overall","Overall","Overall","Overall",0,0.1,"2021-10-30T00:00:00.000"
"98","FluSurv-NET","2021-22",2021,"44","Overall","Overall","Overall","Overall",0,0.1,"2021-11-06T00:00:00.000"
"99","FluSurv-NET","2021-22",2021,"45","Overall","Overall","Overall","Overall",0.1,0.2,"2021-11-13T00:00:00.000"
"100","FluSurv-NET","2021-22",2021,"46","Overall","Overall","Overall","Overall",0.1,0.3,"2021-11-20T00:00:00.000"
"101","FluSurv-NET","2021-22",2021,"47","Overall","Overall","Overall","Overall",0.2,0.4,"2021-11-27T00:00:00.000"
