Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,Indicator Label,Indicator Category Label,Month_Week,Week_ending,Estimate,CI_Half_width_90pct,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,3.1317,3.1372,3.738,669,0
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,,,,669,1
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,,,,23,1
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,,,,23,1
RSV,Substate,Illinois-City of Chicago,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,,,,23,1
RSV,Substate,Illinois-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,5.9776,1.184,1.4107,2542,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,5.9776,1.184,1.4107,2542,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,23.2563,5.364,6.3911,252,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,47.0733,6.4017,7.6276,252,0
RSV,Substate,Illinois-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,23.6928,5.084,6.0575,252,0
RSV,Substate,New York-New York City,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,0,0,0,283,0
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,,,,283,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,,,,23,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,,,,23,1
RSV,Substate,New York-New York City,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,,,,23,1
RSV,Substate,New York-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,3.6271,2.8014,3.3378,1729,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,3.6271,2.8014,3.3378,1729,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,18.9928,7.4388,8.8632,109,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,60.6495,9.2854,11.0634,109,0
RSV,Substate,New York-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,16.7306,7.0235,8.3684,109,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,3.4756,1.0191,1.2143,1305,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,3.4756,1.0191,1.2143,1305,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,21.8971,5.5212,6.5785,210,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,53.9915,6.957,8.2892,210,0
RSV,Substate,Pennsylvania-Philadelphia County,Overall,60+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,20.6358,5.4929,6.5447,210,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,3.7912,0.755,0.8996,2740,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,3.7912,0.755,0.8996,2740,0
RSV,Substate,Pennsylvania-Rest of State,Overall,60+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,18.8253,7.4634,8.8925,166,0
