"","Surveillance.Network","Season","MMWR.Year","MMWR.Week","Age.group","Sex","Race.Ethnicity","Site","Weekly.Rate","Cumulative.Rate","Week.Ending.Date"
"1","RSV-NET","2018-19",2018,"40","Overall","Overall","Overall","Overall",0.1,0.1,"2018-10-06T00:00:00.000"
"2","RSV-NET","2018-19",2018,"41","Overall","Overall","Overall","Overall",0.2,0.3,"2018-10-13T00:00:00.000"
"3","RSV-NET","2018-19",2018,"42","Overall","Overall","Overall","Overall",0.2,0.5,"2018-10-20T00:00:00.000"
"4","RSV-NET","2018-19",2018,"43","Overall","Overall","Overall","Overall",0.3,0.8,"2018-10-27T00:00:00.000"
"5","RSV-NET","2018-19",2018,"44","Overall","Overall","Overall","Overall",0.3,1.1,"2018-11-03T00:00:00.000"
"6","RSV-NET","2018-19",2018,"45","Overall","Overall","Overall","Overall",0.5,1.6,"2018-11-10T00:00:00.000"
"7","RSV-NET","2018-19",2018,"46","Overall","Overall","Overall","Overall",0.5,2.1,"2018-11-17T00:00:00.000"
"8","RSV-NET","2018-19",2018,"47","Overall","Overall","Overall","Overall",0.5,2.6,"2018-11-24T00:00:00.000"
"9","RSV-NET","2018-19",2018,"48","Overall","Overall","Overall","Overall",0.9,3.5,"2018-12-01T00:00:00.000"
"10","RSV-NET","2018-19",2018,"49","Overall","Overall","Overall","Overall",0.9,4.4,"2018-12-08T00:00:00.000"
"11","RSV-NET","2018-19",2018,"50","Overall","Overall","Overall","Overall",1.1,5.6,"2018-12-15T00:00:00.000"
"12","RSV-NET","2018-19",2018,"51","Overall","Overall","Overall","Overall",1.4,7,"2018-12-22T00:00:00.000"
"13","RSV-NET","2018-19",2018,"52","Overall","Overall","Overall","Overall",1.7,8.7,"2018-12-29T00:00:00.000"
"14","RSV-NET","2018-19",2019,"1","Overall","Overall","Overall","Overall",1.8,10.5,"2019-01-05T00:00:00.000"
"15","RSV-NET","2018-19",2019,"2","Overall","Overall","Overall","Overall",1.7,12.2,"2019-01-12T00:00:00.000"
"16","RSV-NET","2018-19",2019,"3","Overall","Overall","Overall","Overall",1.4,13.6,"2019-01-19T00:00:00.000"
"17","RSV-NET","2018-19",2019,"4","Overall","Overall","Overall","Overall",1.3,14.9,"2019-01-26T00:00:00.000"
"18","RSV-NET","2018-19",2019,"5","Overall","Overall","Overall","Overall",1.5,16.3,"2019-02-02T00:00:00.000"
"19","RSV-NET","2018-19",2019,"6","Overall","Overall","Overall","Overall",1.4,17.7,"2019-02-09T00:00:00.000"
"20","RSV-NET","2018-19",2019,"7","Overall","Overall","Overall","Overall",1.2,18.9,"2019-02-16T00:00:00.000"
"21","RSV-NET","2018-19",2019,"8","Overall","Overall","Overall","Overall",1.2,20.2,"2019-02-23T00:00:00.000"
"22","RSV-NET","2018-19",2019,"9","Overall","Overall","Overall","Overall",1.1,21.2,"2019-03-02T00:00:00.000"
"23","RSV-NET","2018-19",2019,"10","Overall","Overall","Overall","Overall",0.8,22.1,"2019-03-09T00:00:00.000"
"24","RSV-NET","2018-19",2019,"11","Overall","Overall","Overall","Overall",0.7,22.8,"2019-03-16T00:00:00.000"
"25","RSV-NET","2018-19",2019,"12","Overall","Overall","Overall","Overall",0.7,23.4,"2019-03-23T00:00:00.000"
"26","RSV-NET","2018-19",2019,"13","Overall","Overall","Overall","Overall",0.5,23.9,"2019-03-30T00:00:00.000"
"27","RSV-NET","2018-19",2019,"14","Overall","Overall","Overall","Overall",0.4,24.3,"2019-04-06T00:00:00.000"
"28","RSV-NET","2018-19",2019,"15","Overall","Overall","Overall","Overall",0.3,24.7,"2019-04-13T00:00:00.000"
"29","RSV-NET","2018-19",2019,"16","Overall","Overall","Overall","Overall",0.3,25,"2019-04-20T00:00:00.000"
"30","RSV-NET","2018-19",2019,"17","Overall","Overall","Overall","Overall",0.1,25.1,"2019-04-27T00:00:00.000"
"31","RSV-NET","2018-19",2019,"18","Overall","Overall","Overall","Overall",0.1,25.2,"2019-05-04T00:00:00.000"
"32","RSV-NET","2019-20",2019,"40","Overall","Overall","Overall","Overall",0.1,0.1,"2019-10-05T00:00:00.000"
"33","RSV-NET","2019-20",2019,"41","Overall","Overall","Overall","Overall",0.2,0.3,"2019-10-12T00:00:00.000"
"34","RSV-NET","2019-20",2019,"42","Overall","Overall","Overall","Overall",0.3,0.5,"2019-10-19T00:00:00.000"
"35","RSV-NET","2019-20",2019,"43","Overall","Overall","Overall","Overall",0.3,0.9,"2019-10-26T00:00:00.000"
"36","RSV-NET","2019-20",2019,"44","Overall","Overall","Overall","Overall",0.4,1.3,"2019-11-02T00:00:00.000"
"37","RSV-NET","2019-20",2019,"45","Overall","Overall","Overall","Overall",0.6,1.9,"2019-11-09T00:00:00.000"
"38","RSV-NET","2019-20",2019,"46","Overall","Overall","Overall","Overall",0.8,2.7,"2019-11-16T00:00:00.000"
"39","RSV-NET","2019-20",2019,"47","Overall","Overall","Overall","Overall",0.9,3.6,"2019-11-23T00:00:00.000"
"40","RSV-NET","2019-20",2019,"48","Overall","Overall","Overall","Overall",1.1,4.7,"2019-11-30T00:00:00.000"
"41","RSV-NET","2019-20",2019,"49","Overall","Overall","Overall","Overall",1.8,6.5,"2019-12-07T00:00:00.000"
"42","RSV-NET","2019-20",2019,"50","Overall","Overall","Overall","Overall",1.8,8.3,"2019-12-14T00:00:00.000"
"43","RSV-NET","2019-20",2019,"51","Overall","Overall","Overall","Overall",1.9,10.2,"2019-12-21T00:00:00.000"
"44","RSV-NET","2019-20",2019,"52","Overall","Overall","Overall","Overall",2.3,12.5,"2019-12-28T00:00:00.000"
"45","RSV-NET","2019-20",2020,"1","Overall","Overall","Overall","Overall",2.7,15.2,"2020-01-04T00:00:00.000"
"46","RSV-NET","2019-20",2020,"2","Overall","Overall","Overall","Overall",2.1,17.3,"2020-01-11T00:00:00.000"
"47","RSV-NET","2019-20",2020,"3","Overall","Overall","Overall","Overall",1.8,19.2,"2020-01-18T00:00:00.000"
"48","RSV-NET","2019-20",2020,"4","Overall","Overall","Overall","Overall",1.8,21,"2020-01-25T00:00:00.000"
"49","RSV-NET","2019-20",2020,"5","Overall","Overall","Overall","Overall",1.7,22.7,"2020-02-01T00:00:00.000"
"50","RSV-NET","2019-20",2020,"6","Overall","Overall","Overall","Overall",1.5,24.3,"2020-02-08T00:00:00.000"
"51","RSV-NET","2019-20",2020,"7","Overall","Overall","Overall","Overall",1.5,25.7,"2020-02-15T00:00:00.000"
"52","RSV-NET","2019-20",2020,"8","Overall","Overall","Overall","Overall",1.3,27,"2020-02-22T00:00:00.000"
"53","RSV-NET","2019-20",2020,"9","Overall","Overall","Overall","Overall",1,28,"2020-02-29T00:00:00.000"
"54","RSV-NET","2019-20",2020,"10","Overall","Overall","Overall","Overall",1.1,29.1,"2020-03-07T00:00:00.000"
"55","RSV-NET","2019-20",2020,"11","Overall","Overall","Overall","Overall",0.8,29.9,"2020-03-14T00:00:00.000"
"56","RSV-NET","2019-20",2020,"12","Overall","Overall","Overall","Overall",0.6,30.5,"2020-03-21T00:00:00.000"
"57","RSV-NET","2019-20",2020,"13","Overall","Overall","Overall","Overall",0.3,30.8,"2020-03-28T00:00:00.000"
"58","RSV-NET","2019-20",2020,"14","Overall","Overall","Overall","Overall",0.2,31,"2020-04-04T00:00:00.000"
"59","RSV-NET","2019-20",2020,"15","Overall","Overall","Overall","Overall",0.1,31,"2020-04-11T00:00:00.000"
"60","RSV-NET","2019-20",2020,"16","Overall","Overall","Overall","Overall",0,31,"2020-04-18T00:00:00.000"
"61","RSV-NET","2019-20",2020,"17","Overall","Overall","Overall","Overall",0,31,"2020-04-25T00:00:00.000"
"62","RSV-NET","2019-20",2020,"18","Overall","Overall","Overall","Overall",0,31.1,"2020-05-02T00:00:00.000"
"63","RSV-NET","2020-21",2020,"40","Overall","Overall","Overall","Overall",0,0,"2020-10-03T00:00:00.000"
"64","RSV-NET","2020-21",2020,"41","Overall","Overall","Overall","Overall",0,0,"2020-10-10T00:00:00.000"
"65","RSV-NET","2020-21",2020,"42","Overall","Overall","Overall","Overall",0,0,"2020-10-17T00:00:00.000"
"66","RSV-NET","2020-21",2020,"43","Overall","Overall","Overall","Overall",0,0,"2020-10-24T00:00:00.000"
"67","RSV-NET","2020-21",2020,"44","Overall","Overall","Overall","Overall",0,0,"2020-10-31T00:00:00.000"
